meetingNo,term,sessionPeriod,meetingTimes,host,meetingLeader,content,seqno,fileName,url,
2023030142,10,07,20230306,社會福利及衛生環境委員會,邱召集委員泰源,舉行「病人自主權利法」公聽會,0003,公聽會報告 1120306 病人自主權利法公聽會合併檔,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023030142/PPGB60500_4500_20688_1120316_0003.pdf,
2023031652,10,07,20230322,財政委員會,羅召集委員明才,「保險法第一百七十七條條文修正草案」,0003,保險177條-組合,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023031652/PPGB60500_2100_20977_1120330_0003.pdf,
2023033134,10,07,20230406,教育及文化委員會,范委員雲,立法院第10屆第7會期教育及文化委員會「特殊教育法」修法公聽會,0001,公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023033134/PPGB60500_2300_20647_1120427_0001.pdf,
2023041178,10,07,20230413,教育及文化委員會,張委員其祿,「如何有效杜絕黃牛炒作票券歪風之法制及行政作為 精進方向」公聽會。,0006,公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023041178/PPGB60500_2300_20647_1120427_0006.pdf,
2023050448,10,07,20230510,財政委員會,羅委員明才,立法院第10屆第7會期財政委員會第2次公聽會,0002,中央銀行法公聽會,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023050448/PPGB60500_2100_20977_1120519_0002.pdf,
2023050450,10,07,20230511,財政委員會,羅委員明才,立法院第10屆第7會期財政委員會第3次公聽會,0001,證券交易法公聽會,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023050450/PPGB60500_2100_20977_1120519_0001.pdf,
2023050554,10,07,20230508,教育及文化委員會,張委員其祿,立法院第10 屆第7 會期教育及文化委員會「如何強化台灣高等教育國際教育制度、品質及提升人才培育」公聽會,0007,公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023050554/PPGB60500_2300_20647_1120606_0007.pdf,
2023050980,10,07,20230515,社會福利及衛生環境委員會,吳召集委員玉琴,舉行「社會救助法修法方向」公聽會,0002,1120515社會救助法修法方向公聽會,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023050980/PPGB60500_4500_20688_1120525_0002.pdf,
2023051088,10,07,20230515,司法及法制委員會,謝委員衣鳯,立法院第10屆第7會期司法及法制委員會,0004,「有關長照悲歌修法」公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023051088/PPGB60500_4300_20859_1120523_0004.pdf,
2023051986,10,07,20230525,教育及文化委員會,張召集委員其祿,「兒少自殺原因回溯調查機制」公聽會,0005,1120525公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023051986/PPGB60500_2300_20878_1120627_0005.pdf,
