term,sessionPeriod,meetingNo,billNo,billName,docUrl,selectTerm
11,01,2024021701,202110002450000,本院委員羅智強等20人擬具「立法委員互選院長副院長辦法第一條條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00006.pdf,all
11,01,2024021701,202110002460000,本院委員邱議瑩等25人擬具「再生醫療製劑條例草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00008.pdf,all
11,01,2024021701,202110002470000,本院委員邱議瑩等25人擬具「再生醫療法草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00007.pdf,all
11,01,2024021701,202110002480000,本院委員邱議瑩等25人擬具「癌症防治法第十六條條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00009.pdf,all
11,01,2024021701,202110003250000,本院委員王鴻薇等19人擬具「不在籍投票法草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00010.pdf,all
11,01,2024021701,202110003260000,本院委員王鴻薇等18人擬具「預算法第八十三條條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00011.pdf,all
11,01,2024021701,202110003270000,本院委員王鴻薇等19人擬具「核子反應器設施管制法第六條條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00012.pdf,all
11,01,2024021701,202110004170000,本院台灣民眾黨黨團擬具「立法院職權行使法部分條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00013.pdf,all
11,01,2024021701,202110004180000,本院台灣民眾黨黨團擬具「貪污治罪條例部分條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00014.pdf,all
11,01,2024021701,202110004190000,本院台灣民眾黨黨團擬具「立法委員互選院長副院長辦法第一條及第一條之一條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00015.pdf,all
11,01,2024021701,202110004200000,本院台灣民眾黨黨團擬廢止「立法院卸任院長副院長禮遇辦法」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00016.pdf,all
11,01,2024021701,401110003320000,行政院函請審議「中華民國（臺灣）政府與聖露西亞政府刑事司法互助條約」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00018.pdf,all
11,01,2024022107,201110004620000,行政院函請審議「原住民族工作權保障法部分條文修正草案」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00034.pdf,all
11,01,2024022107,201110004700000,行政院函請審議「馬拉喀什世界貿易組織協定修正議定書」及其附件「漁業補貼協定」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00037.pdf,all
11,01,2024022107,201110004710000,行政院函請審議「中華民國（臺灣）政府與吐瓦魯國政府刑事司法互助條約」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00038.pdf,all
11,01,2024022107,201110004720000,行政院函請審議「駐德國台北代表處與德國在台協會刑事司法互助協議」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00039.pdf,all
11,01,2024022107,201110005100000,行政院函請審議「遠洋漁業條例第十四條之一、第三十六條之一及第四十七條條文修正草案」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00031.pdf,all
