comYear,comVolume,comBookId,term,sessionPeriod,sessionTimes,meetingTimes,meetingDate,meetingName,subject,pageStart,pageEnd,docUrl,selectTerm,
113,05,,11,01,01,null,1130229,立法院第11屆第1會期內政委員會第1次全體委員會議紀錄,內政委員會第1次會議選舉第11屆第1會期召集委員,   205,   208,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00009.doc,1101,
113,05,,11,01,01,null,1130229,立法院第11屆第1會期內政委員會第1次全體委員會議紀錄,經濟委員會第1次會議選舉立法院第11屆第1會期本會召集委員,   211,   212,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00009.doc,1101,
113,05,,11,01,01,null,1130229,立法院第11屆第1會期內政委員會第1次全體委員會議紀錄,財政委員會第1次會議選舉立法院第11屆第1會期本會召集委員,   213,   216,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00009.doc,1101,
113,05,,11,01,01,null,1130229,立法院第11屆第1會期內政委員會第1次全體委員會議紀錄,教育及文化委員會第1次會議選舉第11屆第1會期本會召集委員,   217,   218,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00009.doc,1101,
113,05,,11,01,01,null,1130229,立法院第11屆第1會期內政委員會第1次全體委員會議紀錄,交通委員會第1次會議選舉第11屆第1會期本會召集委員,   219,   220,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00009.doc,1101,
113,05,,11,01,01,null,1130229,立法院第11屆第1會期內政委員會第1次全體委員會議紀錄,司法及法制委員會第1次會議選舉第11屆第1會期本會召集委員,   221,   224,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00009.doc,1101,
113,05,,11,01,01,null,1130229,立法院第11屆第1會期內政委員會第1次全體委員會議紀錄,社會福利及衛生環境委員會第1次會議選舉第11屆第1會期本會召集委員,   225,   226,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00009.doc,1101,
113,05,,11,01,02,null,1130304,立法院第11屆第1會期內政委員會第2次全體委員會議紀錄,內政委員會第2次會議邀請海洋委員會主任委員、大陸委員會主任委員、國防部及海軍司令部參謀長就「金門撞船案：翻船執法過程及後續處理」進行專題報告，並備質詢,   227,   328,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00010.doc,1101,
113,05,,11,01,02,null,1130304,立法院第11屆第1會期司法及法制委員會第2次全體委員會議紀錄,司法及法制委員會第2次會議邀請司法院秘書長列席說明立法計畫，並備質詢,   329,   384,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00011.doc,1101,
113,06,,11,01,02,null,1130304,立法院第11屆第1會期社會福利及衛生環境委員會第2次全體委員會議紀錄,社會福利及衛生環境委員會第2次會議邀請行政院食品安全辦公室、衛生福利部部長、食品藥物管理署就「食安五環執行狀況及蘇丹紅事件處理之檢討」進行專題報告，並備質詢,   209,   296,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/06/LCIDC01_1130601_00009.doc,1101,
113,06,,11,01,01,null,1130305,立法院第11屆第1會期程序委員會第1次會議紀錄,程序委員會第1次會議一、選舉第11屆第1會期本會召集委員；二、審定本院第11屆第1會期第4次會議議事日程及人民請願案,   297,   328,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/06/LCIDC01_1130601_00010.doc,1101,
113,06,,11,01,02,null,1130306,立法院第11屆第1會期外交及國防委員會第2次全體委員會議紀錄,外交及國防委員會第2次會議邀請國軍退除役官兵輔導委員會主任委員馮世寬報告業務概況，並備質詢,   329,   382,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/06/LCIDC01_1130601_00011.doc,1101,
113,07,,11,01,03,null,1130306,立法院第11屆第1會期內政委員會第3次全體委員會議紀錄,內政委員會第3次會議邀請大陸委員會主任委員及交通部次長、交通部觀光署署長就「赴陸旅遊團停招：決策過程與後續影響評估」進行專題報告，並備質詢,     1,    76,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/07/LCIDC01_1130701_00002.doc,1101,
113,07,,11,01,03,null,1130306,立法院第11屆第1會期司法及法制委員會第3次全體委員會議紀錄,司法及法制委員會第3次會議邀請行政院人事行政總處人事長列席報告業務概況及立法計畫，並備質詢,    77,   124,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/07/LCIDC01_1130701_00003.doc,1101,
113,07,,11,01,03,null,1130306,立法院第11屆第1會期社會福利及衛生環境委員會第3次全體委員會議紀錄,社會福利及衛生環境委員會第3次會議邀請勞動部部長、外交部、勞動力發展署、衛生福利部、內政部、國家安全局就「我國開放印度移工對本國勞工就業市場之衝擊」進行專題報告，並備質詢,   125,   214,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/07/LCIDC01_1130701_00004.doc,1101,
