term,sessionPeriod,meetingDate,meetingTime,meetingTypeName,meetingName,meetingContent,legislatorName,areaName,speechStartTime,speechEndTime,speechRecordUrl,videoLength,videoUrl,selectTerm,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,楊瓊瓔,台中市第3選舉區,09:10:08,09:13:25,https://ivod.ly.gov.tw/Demand/Speech/149105,00:03:17,https://ivod.ly.gov.tw/Play/Clip/1M/149105,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,張嘉郡,全國不分區及僑居國外國民,09:24:18,09:27:39,https://ivod.ly.gov.tw/Demand/Speech/149109,00:03:21,https://ivod.ly.gov.tw/Play/Clip/1M/149109,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,羅智強,台北市第6選舉區,09:03:09,09:06:25,https://ivod.ly.gov.tw/Demand/Speech/149103,00:03:16,https://ivod.ly.gov.tw/Play/Clip/1M/149103,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,許智傑,高雄市第7選舉區,16:15:29,16:31:32,https://ivod.ly.gov.tw/Demand/Speech/149117,00:16:03,https://ivod.ly.gov.tw/Play/Clip/1M/149117,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,洪孟楷,新北市第1選舉區,15:34:09,16:05:16,https://ivod.ly.gov.tw/Demand/Speech/149116,00:31:07,https://ivod.ly.gov.tw/Play/Clip/1M/149116,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,莊瑞雄,全國不分區及僑居國外國民,15:17:43,15:34:02,https://ivod.ly.gov.tw/Demand/Speech/149115,00:16:19,https://ivod.ly.gov.tw/Play/Clip/1M/149115,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,傅崐萁,花蓮縣選舉區,14:46:24,15:17:36,https://ivod.ly.gov.tw/Demand/Speech/149114,00:31:12,https://ivod.ly.gov.tw/Play/Clip/1M/149114,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,吳思瑤,台北市第1選舉區,14:30:35,14:46:17,https://ivod.ly.gov.tw/Demand/Speech/149113,00:15:42,https://ivod.ly.gov.tw/Play/Clip/1M/149113,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,黃國昌,全國不分區及僑居國外國民,11:28:30,11:59:27,https://ivod.ly.gov.tw/Demand/Speech/149112,00:30:57,https://ivod.ly.gov.tw/Play/Clip/1M/149112,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,葛如鈞,全國不分區及僑居國外國民,09:27:57,09:30:54,https://ivod.ly.gov.tw/Demand/Speech/149110,00:02:57,https://ivod.ly.gov.tw/Play/Clip/1M/149110,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,林思銘,新竹縣第2選舉區,16:31:37,17:02:16,https://ivod.ly.gov.tw/Demand/Speech/149118,00:30:39,https://ivod.ly.gov.tw/Play/Clip/1M/149118,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,吳春城,全國不分區及僑居國外國民,09:20:56,09:24:08,https://ivod.ly.gov.tw/Demand/Speech/149108,00:03:12,https://ivod.ly.gov.tw/Play/Clip/1M/149108,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,洪孟楷,新北市第1選舉區,09:17:24,09:20:43,https://ivod.ly.gov.tw/Demand/Speech/149107,00:03:19,https://ivod.ly.gov.tw/Play/Clip/1M/149107,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,陳昭姿,全國不分區及僑居國外國民,09:13:36,09:17:13,https://ivod.ly.gov.tw/Demand/Speech/149106,00:03:37,https://ivod.ly.gov.tw/Play/Clip/1M/149106,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,羅廷瑋,台中市第6選舉區,09:06:38,09:09:56,https://ivod.ly.gov.tw/Demand/Speech/149104,00:03:18,https://ivod.ly.gov.tw/Play/Clip/1M/149104,1101,
11,1,2024-02-20,09:00,院會,第11屆第1會期第1次會議,行政院院長提出施政方針及施政報告並備質詢,黃國昌,全國不分區及僑居國外國民,10:23:09,10:24:33,https://ivod.ly.gov.tw/Demand/Speech/149111,00:01:24,https://ivod.ly.gov.tw/Play/Clip/1M/149111,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,王育敏,全國不分區及僑居國外國民,16:03:15,16:19:10,https://ivod.ly.gov.tw/Demand/Speech/149138,00:15:55,https://ivod.ly.gov.tw/Play/Clip/1M/149138,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,楊瓊瓔,台中市第3選舉區,09:11:21,09:14:38,https://ivod.ly.gov.tw/Demand/Speech/149121,00:03:17,https://ivod.ly.gov.tw/Play/Clip/1M/149121,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,張嘉郡,全國不分區及僑居國外國民,09:14:49,09:18:04,https://ivod.ly.gov.tw/Demand/Speech/149122,00:03:15,https://ivod.ly.gov.tw/Play/Clip/1M/149122,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,羅智強,台北市第6選舉區,17:08:44,17:24:47,https://ivod.ly.gov.tw/Demand/Speech/149142,00:16:03,https://ivod.ly.gov.tw/Play/Clip/1M/149142,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,吳思瑤,台北市第1選舉區,14:30:31,14:46:54,https://ivod.ly.gov.tw/Demand/Speech/149133,00:16:23,https://ivod.ly.gov.tw/Play/Clip/1M/149133,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,李坤城,新北市第3選舉區,10:59:04,11:14:34,https://ivod.ly.gov.tw/Demand/Speech/149129,00:15:30,https://ivod.ly.gov.tw/Play/Clip/1M/149129,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,吳宗憲,全國不分區及僑居國外國民,09:07:50,09:11:07,https://ivod.ly.gov.tw/Demand/Speech/149120,00:03:17,https://ivod.ly.gov.tw/Play/Clip/1M/149120,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,涂權吉,桃園市第2選舉區,09:03:37,09:07:39,https://ivod.ly.gov.tw/Demand/Speech/149119,00:04:02,https://ivod.ly.gov.tw/Play/Clip/1M/149119,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,徐巧芯,台北市第7選舉區,14:47:19,15:03:46,https://ivod.ly.gov.tw/Demand/Speech/149134,00:16:27,https://ivod.ly.gov.tw/Play/Clip/1M/149134,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,廖偉翔,台中市第4選舉區,11:46:52,12:02:57,https://ivod.ly.gov.tw/Demand/Speech/149132,00:16:05,https://ivod.ly.gov.tw/Play/Clip/1M/149132,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,洪申翰,全國不分區及僑居國外國民,11:30:45,11:46:35,https://ivod.ly.gov.tw/Demand/Speech/149131,00:15:50,https://ivod.ly.gov.tw/Play/Clip/1M/149131,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,洪孟楷,新北市第1選舉區,11:14:46,11:30:33,https://ivod.ly.gov.tw/Demand/Speech/149130,00:15:47,https://ivod.ly.gov.tw/Play/Clip/1M/149130,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,陳昭姿,全國不分區及僑居國外國民,10:42:55,10:58:32,https://ivod.ly.gov.tw/Demand/Speech/149128,00:15:37,https://ivod.ly.gov.tw/Play/Clip/1M/149128,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,鍾佳濱,屏東縣第1選舉區,15:04:04,15:19:55,https://ivod.ly.gov.tw/Demand/Speech/149135,00:15:51,https://ivod.ly.gov.tw/Play/Clip/1M/149135,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,王定宇,台南市第6選舉區,16:52:35,17:08:36,https://ivod.ly.gov.tw/Demand/Speech/149141,00:16:01,https://ivod.ly.gov.tw/Play/Clip/1M/149141,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,李彥秀,台北市第4選舉區,16:35:30,16:52:25,https://ivod.ly.gov.tw/Demand/Speech/149140,00:16:55,https://ivod.ly.gov.tw/Play/Clip/1M/149140,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,何欣純,台中市第7選舉區,16:19:25,16:35:24,https://ivod.ly.gov.tw/Demand/Speech/149139,00:15:59,https://ivod.ly.gov.tw/Play/Clip/1M/149139,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,陳菁徽,全國不分區及僑居國外國民,09:32:11,09:35:35,https://ivod.ly.gov.tw/Demand/Speech/149127,00:03:24,https://ivod.ly.gov.tw/Play/Clip/1M/149127,1101,
11,1,2024-02-23,09:00,院會,第11屆第1會期第2次會議,一、對行政院院長提出施政方針及施政報告繼續質詢。 二、2月23日上午9時至10時為國是論壇時間。 三、2月27日下午1時50分至2時30分為處理臨時提案時間。,葉元之,新北市第7選舉區,09:25:12,09:28:28,https://ivod.ly.gov.tw/Demand/Speech/149125,00:03:16,https://ivod.ly.gov.tw/Play/Clip/1M/149125,1101,
