term,sessionPeriod,sessionTimes,meetingTimes,sessionType,docUrl,
08,01,01,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/01/01/LCEWC03_080101.doc,
08,01,01,01,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/08/01/01/LCEWC03_080101.doc,
08,01,01,null,04,https://ppg.ly.gov.tw/ppg/download/agendarec1/04/word/08/01/01/LCEWC03_080101.doc,
08,01,02,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/04/word/08/01/02/LCEWC03_080102.doc,
08,01,02,null,04,https://ppg.ly.gov.tw/ppg/download/agendarec1/04/word/08/01/02/LCEWC03_080102.doc,
08,01,03,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/01/03/LCEWC03_080103.doc,
08,01,04,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/01/04/LCEWC03_080104.doc,
08,01,05,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/01/05/LCEWC03_080105.doc,
08,01,06,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/01/06/LCEWC03_080106.doc,
08,01,07,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/01/07/LCEWC03_080107.doc,
08,01,08,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/01/08/LCEWC03_080108.doc,
08,01,09,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/01/09/LCEWC03_080109.doc,
08,01,10,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/01/10/LCEWC03_080110.doc,
08,01,11,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/01/11/LCEWC03_080111.doc,
08,01,12,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/01/12/LCEWC03_080112.doc,
08,01,13,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/01/13/LCEWC03_080113.doc,
08,01,14,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/01/14/LCEWC03_080114.doc,
08,01,15,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/01/15/LCEWC03_080115.doc,
08,02,01,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/01/LCEWC03_080201.doc,
08,02,02,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/02/LCEWC03_080202.doc,
08,02,03,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/03/LCEWC03_080203.doc,
08,02,04,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/04/LCEWC03_080204.doc,
08,02,05,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/05/LCEWC03_080205.doc,
08,02,06,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/06/LCEWC03_080206.doc,
08,02,07,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/07/LCEWC03_080207.doc,
08,02,08,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/08/LCEWC03_080208.doc,
08,02,09,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/09/LCEWC03_080209.doc,
08,02,10,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/10/LCEWC03_080210.doc,
08,02,11,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/11/LCEWC03_080211.doc,
08,02,12,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/12/LCEWC03_080212.doc,
08,02,13,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/13/LCEWC03_080213.doc,
08,02,14,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/14/LCEWC03_080214.doc,
08,02,15,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/15/LCEWC03_080215.doc,
08,02,16,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/16/LCEWC03_080216.doc,
08,02,17,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/02/17/LCEWC03_080217.doc,
08,03,01,null,01,https://ppg.ly.gov.tw/ppg/download/agendarec1/01/word/08/03/01/LCEWC03_080301.doc,
08,03,01,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/01/LCEWC03_080301.doc,
08,03,01,01,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/08/03/01/01/LCEWC03_080301.doc,
08,03,01,02,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/08/03/01/02/LCEWC03_08030102.doc,
08,03,01,null,04,https://ppg.ly.gov.tw/ppg/download/agendarec1/04/word/08/03/01/LCEWC03_080301.doc,
08,03,02,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/02/LCEWC03_080302.doc,
08,03,02,01,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/08/03/02/01/LCEWC03_08030201.doc,
08,03,02,null,04,https://ppg.ly.gov.tw/ppg/download/agendarec1/04/word/08/03/02/LCEWC03_080302.doc,
08,03,03,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/03/LCEWC03_080303.doc,
08,03,04,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/04/LCEWC03_080304.doc,
08,03,05,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/05/LCEWC03_080305.doc,
08,03,06,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/06/LCEWC03_080306.doc,
08,03,07,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/07/LCEWC03_080307.doc,
08,03,08,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/08/LCEWC03_080308.doc,
08,03,09,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/09/LCEWC03_080309.doc,
08,03,10,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/10/LCEWC03_080310.doc,
08,03,11,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/11/LCEWC03_080311.doc,
08,03,12,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/12/LCEWC03_080312.doc,
08,03,13,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/13/LCEWC03_080313.doc,
08,03,14,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/14/LCEWC03_080314.doc,
08,03,15,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/03/15/LCEWC03_080315.doc,
08,04,01,null,01,https://ppg.ly.gov.tw/ppg/download/agendarec1/01/word/08/04/01/LCEWC03_080401.doc,
08,04,01,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/01/LCEWC03_080401.doc,
08,04,01,01,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/08/04/01/01/LCEWC03_08040101.doc,
08,04,01,null,04,https://ppg.ly.gov.tw/ppg/download/agendarec1/04/word/08/04/01/LCEWC03_080401.doc,
08,04,01,01,05,https://ppg.ly.gov.tw/ppg/download/agendarec1/05/word/08/04/01/01/LCEWC03_08040101.doc,
08,04,02,null,01,https://ppg.ly.gov.tw/ppg/download/agendarec1/01/word/08/04/02/LCEWC03_080402.doc,
08,04,02,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/02/LCEWC03_080402.doc,
08,04,03,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/03/LCEWC03_080403.doc,
08,04,04,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/04/LCEWC03_080404.doc,
08,04,05,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/05/LCEWC03_080405.doc,
08,04,06,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/06/LCEWC03_080406.doc,
08,04,07,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/07/LCEWC03_080407.doc,
08,04,08,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/08/LCEWC03_080408.doc,
08,04,09,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/09/LCEWC03_080409.doc,
08,04,10,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/10/LCEWC03_080410.doc,
08,04,11,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/11/LCEWC03_080411.doc,
08,04,12,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/12/LCEWC03_080412.doc,
08,04,13,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/13/LCEWC03_080413.doc,
08,04,14,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/14/LCEWC03_080414.doc,
08,04,15,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/15/LCEWC03_080415.doc,
08,04,16,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/16/LCEWC03_080416.doc,
08,04,17,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/17/LCEWC03_080417.doc,
08,04,18,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/04/18/LCEWC03_080418.doc,
08,05,01,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/05/01/LCEWC03_080501.doc,
08,05,01,01,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/08/05/01/01/LCEWC03_08050101.doc,
08,05,01,02,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/08/05/01/02/LCEWC03_08050102.doc,
