term,sessionPeriod,sessionTimes,meetingTimes,billNo,billName,billOrg,billProposer,billCosignatory,billStatus,pdfUrl,docUrl,selectTerm,
11,01,01,,202110002450000,「立法委員互選院長副院長辦法第一條條文修正草案」，請審議案。,本院委員羅智強等20人,羅智強　　,陳雪生　　廖偉翔　　萬美玲　　陳玉珍　　謝龍介　　馬文君　　徐欣瑩　　林思銘　　李彥秀　　魯明哲　　徐巧芯　　林沛祥　　涂權吉　　邱鎮軍　　翁曉玲　　張智倫　　游　顥　　邱若華　　許宇甄　　,審查完畢,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00006.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/01/LCEWA01_110101_00006.doc,1101,
11,01,01,,202110002470000,「再生醫療法草案」，請審議案。,本院委員邱議瑩等25人,邱議瑩　　蘇巧慧　　林楚茵　　,洪申翰　　羅美玲　　王美惠　　吳思瑤　　李坤城　　沈發惠　　郭昱晴　　伍麗華Saidhai Tahovecahe　　張宏陸　　吳秉叡　　何欣純　　徐富癸　　林月琴　　高金素梅　　陳素月　　郭國文　　吳沛憶　　李柏毅　　陳俊宇　　王定宇　　張雅琳　　黃　捷　　,審查完畢,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00007.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/01/LCEWA01_110101_00007.doc,1101,
11,01,01,,202110002460000,「再生醫療製劑條例草案」，請審議案。,本院委員邱議瑩等25人,邱議瑩　　蘇巧慧　　林楚茵　　,洪申翰　　羅美玲　　何欣純　　沈發惠　　郭昱晴　　李坤城　　張宏陸　　吳秉叡　　徐富癸　　林月琴　　王美惠　　吳思瑤　　高金素梅　　郭國文　　李柏毅　　伍麗華Saidhai Tahovecahe　　陳素月　　吳沛憶　　王定宇　　張雅琳　　陳俊宇　　黃　捷　　,審查完畢,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00008.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/01/LCEWA01_110101_00008.doc,1101,
11,01,01,,202110002480000,「癌症防治法第十六條條文修正草案」，請審議案。,本院委員邱議瑩等25人,邱議瑩　　蘇巧慧　　林楚茵　　,李坤城　　李柏毅　　陳素月　　黃　捷　　張雅琳　　洪申翰　　沈發惠　　張宏陸　　林月琴　　羅美玲　　郭昱晴　　吳秉叡　　高金素梅　　徐富癸　　王定宇　　陳俊宇　　伍麗華Saidhai Tahovecahe　　吳沛憶　　何欣純　　王美惠　　郭國文　　吳思瑤　　,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00009.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/01/LCEWA01_110101_00009.doc,1101,
11,01,01,,202110003250000,「不在籍投票法草案」，請審議案。,本院委員王鴻薇等19人,王鴻薇　　陳玉珍　　游　顥　　廖偉翔　　賴士葆　　洪孟楷　　黃健豪　　,邱若華　　鄭正鈐　　黃　仁　　丁學忠　　張嘉郡　　羅廷瑋　　魯明哲　　廖先翔　　張智倫　　謝龍介　　陳菁徽　　林思銘　　,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00010.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/01/LCEWA01_110101_00010.doc,1101,
11,01,01,,202110003260000,「預算法第八十三條條文修正草案」，請審議案。,本院委員王鴻薇等18人,王鴻薇　　林思銘　　張智倫　　,謝龍介　　黃　仁　　陳菁徽　　洪孟楷　　羅廷瑋　　陳雪生　　邱若華　　張嘉郡　　游　顥　　鄭正鈐　　丁學忠　　廖先翔　　廖偉翔　　魯明哲　　黃健豪　　,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00011.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/01/LCEWA01_110101_00011.doc,1101,
11,01,01,,202110003270000,「核子反應器設施管制法第六條條文修正草案」，請審議案。,本院委員王鴻薇等19人,王鴻薇　　黃健豪　　,羅智強　　鄭正鈐　　謝龍介　　李彥秀　　張嘉郡　　廖偉翔　　丁學忠　　魯明哲　　羅廷瑋　　游　顥　　洪孟楷　　陳菁徽　　陳雪生　　邱若華　　張智倫　　黃　仁　　林思銘　　,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00012.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/01/LCEWA01_110101_00012.doc,1101,
11,01,01,,202110004170000,「立法院職權行使法部分條文修正草案」，請審議案。,本院台灣民眾黨黨團,,,審查完畢,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00013.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/01/LCEWA01_110101_00013.doc,1101,
11,01,01,,202110004180000,「貪污治罪條例部分條文修正草案」，請審議案。,本院台灣民眾黨黨團,,,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00014.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/01/LCEWA01_110101_00014.doc,1101,
11,01,01,,202110004190000,「立法委員互選院長副院長辦法第一條及第一條之一條文修正草案」，請審議案。,本院台灣民眾黨黨團,,,審查完畢,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00015.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/01/LCEWA01_110101_00015.doc,1101,
11,01,01,,202110004200000,廢止「立法院卸任院長副院長禮遇辦法」，請審議案。,本院台灣民眾黨黨團,,,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00016.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/01/LCEWA01_110101_00016.doc,1101,
11,01,01,,321110001260000,「中央政府嚴重特殊傳染性肺炎防治及紓困振興特別決算審核報告（中華民國109年1月15日至112年6月30日）」案。,審計部,,,交付審查,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/01/LCEWA01_110101_00017.pdf,https://ppg.ly.gov.tw/ppg/download/agenda1/02/word/11/01/01/LCEWA01_110101_00017.doc,1101,
