comYear,comVolume,comBookId,term,sessionPeriod,sessionTimes,meetingTimes,meetingDate,meetingName,subject,pageStart,pageEnd,docUrl,htmlUrl,selectTerm
113,04,,11,01,01,null,1130220,院會紀錄(立法院第11屆第1會期第1次會議紀錄),報告事項,    11,    19,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/04/LCIDC01_1130401_00003.doc,all,
113,04,,11,01,01,null,1130220,院會紀錄(立法院第11屆第1會期第1次會議紀錄),本院台灣民眾黨黨團建請院會作成決議：「鑑於本院歷屆各會期開議時均曾邀請行政院院長針對重大議題進行專案報告，並備質詢，已為議事成例；爰依議事先例建請113年2月21日（星期三）加開院會，邀請行政院院長率同相關部會首長就『民進黨政府執政八年所造成台灣食安問題總檢討』進行專案報告並備質詢，質詢人數由國民黨黨團推派7人、民進黨黨團推派7人、台灣民眾黨黨團推派1人進行，每位委員詢答時間15分鐘；質詢順序依例授權議事處辦理。名單請於2月20日（星期二）下午5時前送交議事處彙整，逾時視同放棄。」是否有當？請公決案─交黨團協商─,    20,    22,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/04/LCIDC01_1130401_00003.doc,all,
113,04,,11,01,01,null,1130220,院會紀錄(立法院第11屆第1會期第1次會議紀錄),行政院院長提出施政方針及施政報告並備質詢─進行質詢─,    22,   236,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/04/LCIDC01_1130401_00003.dochttps://ppg.ly.gov.tw/ppg/download/communique1/work/113/04/LCIDC01_1130401_00004.doc,all,
113,04,,11,01,02,null,1130223,院會紀錄(立法院第11屆第1會期第2次會議紀錄),報告事項,   263,   277,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/04/LCIDC01_1130401_00009.doc,all,
113,04,,11,01,02,null,1130223,院會紀錄(立法院第11屆第1會期第2次會議紀錄),行政院院長提出「民進黨政府執政八年臺灣食安問題總檢討」專案報告並備質詢─詢答完畢─,   277,   370,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/04/LCIDC01_1130401_00010.dochttps://ppg.ly.gov.tw/ppg/download/communique1/work/113/04/LCIDC01_1130401_00009.doc,all,
113,04,,11,01,02,null,1130227,院會紀錄(立法院第11屆第1會期第2次會議紀錄),對行政院院長提出施政方針及施政報告繼續質詢─繼續質詢─,   371,   466,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/04/LCIDC01_1130401_00012.dochttps://ppg.ly.gov.tw/ppg/download/communique1/work/113/04/LCIDC01_1130401_00011.doc,all,
113,05,,11,01,03,null,1130301,院會紀錄報告事項(立法院第11屆第1會期第3次會議紀錄),報告事項,     1,    15,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00002.doc,all,
113,05,,11,01,03,null,1130301,院會紀錄(立法院第11屆第1會期第3次會議紀錄),對行政院院長提出施政方針及施政報告繼續質詢─繼續質詢─,    16,    86,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00002.dochttps://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00003.doc,all,
113,05,,11,01,03,null,1130305,院會紀錄(立法院第11屆第1會期第3次會議紀錄),對行政院院長提出施政方針及施政報告繼續質詢─繼續質詢─,    87,   174,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00005.dochttps://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00004.doc,all,
113,05,,11,01,03,null,1130305,院會紀錄(立法院第11屆第1會期第3次會議紀錄),本院委員林沛祥等23人，針對第1會期第3次會議報告事項第105案、第106案、第107案、第108案、第111案、第112案、第113案及第118案提出復議，是否有當？敬請公決─另定期處理─,   174,   174,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/05/LCIDC01_1130501_00005.doc,all,
