term,sessionPeriod,voteDate,voteTime,voteIssue,voteType,url,
10,07,112/02/21,10:10,討論事項第一案　第一條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202303071540380.xlsx,
10,07,112/02/21,10:11,討論事項第一案　第一條，國民黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202303071540391.xlsx,
10,07,112/02/21,10:28,討論事項第一案　第三條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202303071540392.xlsx,
10,07,112/02/21,10:29,討論事項第一案　第三條，台灣民眾黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202303071540393.xlsx,
10,07,112/02/21,10:31,討論事項第一案　第三條，國民黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202303071540404.xlsx,
10,07,112/02/21,10:50,討論事項第一案　第五條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202303071540405.xlsx,
10,07,112/02/21,10:52,討論事項第一案　第五條，台灣民眾黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202303071540406.xlsx,
10,07,112/02/21,10:53,討論事項第一案　第五條，國民黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202303071540417.xlsx,
10,07,112/02/21,11:09,討論事項第一案　第七條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202303071540418.xlsx,
10,07,112/02/21,11:10,討論事項第一案　第七條，台灣民眾黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202303071540419.xlsx,
10,07,112/02/21,11:12,討論事項第一案　第七條，國民黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023030715404210.xlsx,
10,07,112/02/21,11:18,討論事項第一案　附帶決議，時代力量黨團提議(2),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023030715404211.xlsx,
10,07,112/02/21,11:20,討論事項第一案　附帶決議，時代力量黨團提議(3),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023030715404312.xlsx,
10,07,112/02/21,11:22,討論事項第一案　附帶決議，時代力量黨團提議(4),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023030715404313.xlsx,
10,07,112/02/21,11:24,討論事項第一案　附帶決議，國民黨黨團提議(1),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023030715404314.xlsx,
10,07,112/02/21,11:27,討論事項第一案　附帶決議，國民黨黨團提議(4),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023030715404415.xlsx,
10,07,112/02/21,11:29,討論事項第一案　附帶決議，國民黨黨團提議(5),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023030715404416.xlsx,
10,07,112/02/21,11:30,討論事項第一案　附帶決議，台灣民眾黨黨團提議(1),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023030715404417.xlsx,
10,07,112/02/21,11:32,討論事項第一案　附帶決議，台灣民眾黨黨團提議(2),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023030715404518.xlsx,
10,07,112/02/21,11:34,討論事項第一案　附帶決議，台灣民眾黨黨團提議(3),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023030715404519.xlsx,
10,07,112/02/21,11:35,討論事項第一案　附帶決議，台灣民眾黨黨團提議(4),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023030715404520.xlsx,
10,07,112/03/24,11:24,通案　保留1，委員賴士葆等提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304071005290.xlsx,
10,07,112/03/24,11:26,通案　保留5，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304071005311.xlsx,
10,07,112/03/24,11:27,通案　保留6，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304071005312.xlsx,
10,07,112/03/24,11:29,通案　保留10，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304071005313.xlsx,
10,07,112/03/24,11:31,第1款　保留26，委員賴士葆等提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304071005324.xlsx,
10,07,112/03/24,11:33,第4款　保留43，委員邱臣遠等提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304071005325.xlsx,
10,07,112/03/24,11:35,第4款　保留44，委員張其祿等提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304071005326.xlsx,
10,07,112/03/24,11:37,第4款　保留45，台灣民眾黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304071005337.xlsx,
10,07,112/03/24,11:39,第4款　保留49，時代力量黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304071005338.xlsx,
10,07,112/03/24,11:40,第4款　保留53，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304071005349.xlsx,
10,07,112/03/24,11:42,第4款　保留63，委員陳椒華等提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053410.xlsx,
10,07,112/03/24,11:44,第4款　保留64，時代力量黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053511.xlsx,
10,07,112/03/24,11:46,第6款　保留90，委員邱顯智等提案(更正版),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053512.xlsx,
10,07,112/03/24,11:48,第6款　保留91，委員王婉諭等提案(更正版),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053613.xlsx,
10,07,112/03/24,11:50,第6款　保留92，委員王婉諭等提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053614.xlsx,
10,07,112/03/24,11:52,第6款　保留93，委員王婉諭等提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053615.xlsx,
10,07,112/03/24,11:54,第6款　保留94，台灣民眾黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053716.xlsx,
10,07,112/03/24,11:56,第6款　保留96，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053717.xlsx,
10,07,112/03/24,11:58,第6款　保留98，台灣民眾黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053718.xlsx,
10,07,112/03/24,12:00,第6款　保留99，台灣民眾黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053819.xlsx,
10,07,112/03/24,12:02,第8款　保留131，委員王婉諭等提案(更正版),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053820.xlsx,
10,07,112/03/24,12:03,第8款　保留132，委員王婉諭等提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053821.xlsx,
10,07,112/03/24,12:05,第9款　保留138，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053922.xlsx,
10,07,112/03/24,12:07,第9款　保留139，時代力量黨團提案(更正版),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053923.xlsx,
10,07,112/03/24,12:11,第10款　保留142至147，,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023040710053924.xlsx,
10,07,112/04/14,11:10,報告事項第474案，時代力量黨團提議退回,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304211153190.xlsx,
10,07,112/04/14,11:25,民進黨黨團針對本次會議報告事項，院會所作之決定提出復議(1),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304211153201.xlsx,
10,07,112/04/14,12:39,道路交通管理處罰條例第二十二條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304211153202.xlsx,
10,07,112/04/14,12:43,道路交通管理處罰條例第六十三條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304211153213.xlsx,
10,07,112/04/14,12:45,道路交通管理處罰條例第63條之1，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304211153214.xlsx,
10,07,112/04/14,12:53,道路交通管理處罰條例第九十二條，民進黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304211153215.xlsx,
