comYear,comVolume,comBookId,term,sessionPeriod,sessionTimes,meetingTimes,meetingDate,meetingName,subject,pageStart,pageEnd,docUrl,htmlUrl,selectTerm
101,50,,08,01,01,null,1010525,黨團協商紀錄(立法院第8屆第1會期第1次臨時會第1次會議紀錄),一、盧秀燕等委員所提「菸酒管理法第四十六條條文修正草案」；二、財團法人金融研訓院、財團法人汽車交通事故特別補償基金、財團法人住宅地震保險基金、財團法人證券投資人及期貨交易人保護中心暨財團法人保險事業發展中心101年度預算,   501,   508,https://ppg.ly.gov.tw/ppg/download/communique1/work/101/50/LCIDC01_1015001_00010.doc,all,
101,74,下,null,null,null,null,1011122,黨團協商紀錄,一、行政院函請審議「國防部組織法修正草案」案；二、行政院函請審議「國防部政治作戰局組織法草案」案；三、行政院函請審議「國防部軍備局組織法草案」案；四、行政院函請審議「國防部軍醫局組織法草案」案；五、行政院函請審議「國防部主計局組織法草案」案；六、行政院函請審議「國防部參謀本部組織法草案」案；七、行政院函請審議「國家中山科學研究院設置條例草案」案,   459,   468,https://ppg.ly.gov.tw/ppg/download/communique1/work/101/74/LCIDC01_1017402_00007.doc,all,
101,83,四,null,null,null,null,1011023,黨團協商紀錄,行政院函請審議、委員許智傑等20人擬具「高級中等學校建教合作實施及建教生權益保障法草案」、委員吳育仁等19人擬具「高級中等學校建教合作法草案」及委員林淑芬等31人擬具「建教合作實施及建教生權益保障法草案」等案,   317,   330,https://ppg.ly.gov.tw/ppg/download/communique1/work/101/83/LCIDC01_1018304_00008.doc,all,
101,83,四,null,null,null,null,1011116,黨團協商紀錄,行政院函請審議、委員許智傑等20人擬具「高級中等學校建教合作實施及建教生權益保障法草案」、委員吳育仁等19人擬具「高級中等學校建教合作法草案」及委員林淑芬等31人擬具「建教合作實施及建教生權益保障法草案」等案,   331,   346,https://ppg.ly.gov.tw/ppg/download/communique1/work/101/83/LCIDC01_1018304_00009.doc,all,
102,02,四,null,null,null,null,1011121,黨團協商紀錄,本院委員張慶忠等23人擬具「警察刑事紀錄證明核發條例第六條條文修正草案」案,   307,   308,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/02/LCIDC01_1020204_00006.doc,all,
102,02,四,null,null,null,null,1011217,黨團協商紀錄,委員林岱樺等22人擬具「自來水法第十二條之二及第十二條之四條文修正草案」、委員盧嘉辰等48人擬具「自來水法第五十二條、第五十三條及第六十一條之一條文修正草案」及委員盧嘉辰等23人擬具「自來水法第五十二條、第五十三條及第六十一條之一條文修正草案」,   309,   310,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/02/LCIDC01_1020204_00007.doc,all,
102,04,四,null,null,null,null,1011205,黨團協商紀錄,行政院、司法院函請審議「跨國移交受刑人法草案」案,   407,   408,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/04/LCIDC01_1020404_00009.doc,all,
102,05,六,null,null,null,null,1010611,黨團協商紀錄,行政院函請審議「航業法修正草案」案,  2493,  2494,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/05/LCIDC01_1020506_00010.doc,all,
102,05,六,null,null,null,null,1011227,黨團協商紀錄,補習及進修教育法部分條文修正草案,  2495,  2496,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/05/LCIDC01_1020506_00011.doc,all,
102,05,六,null,null,null,null,1010611,黨團協商紀錄,一、行政院函請審議兵役法施行法部分條文修正草案；二、本院委員馬文君等25人擬具兵役法施行法第四十三條條文修正草案；三、財團法人海華文教基金會及財團法人海外信用保證基金101年度預算書；四、財團法人榮民榮眷基金會101年度預算書；五、財團法人國際合作發展基金會、財團法人臺灣民主基金會及財團法人太平洋經濟合作理事會中華民國委員會101年度預算書,  2497,  2498,https://ppg.ly.gov.tw/ppg/download/communique1/work/102/05/LCIDC01_1020506_00012.doc,all,
