text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　議案編號：202110017010000,內文,0.0,8.350000381469727,,,,,
立法院議案關係文書　,內文,0.0,0.0,,,,,
,內文,0.0,0.0,,,,,
"院總第20號
",院總號/內文,0.0,0.0,1,1,1,1,0
"委員
",提案號/內文,0.0,0.0,2,1,1,1,0
"提案第
",提案號/內文,0.0,0.0,3,1,1,1,0
"11001701
",提案號/內文,0.0,0.0,4,1,1,1,0
"號
",提案號/內文,0.0,0.0,5,1,1,1,0
"
",提案號/內文,0.0,0.0,6,1,1,1,0
"
",提案號/內文,0.0,0.0,7,1,1,1,0
"
",內文,0.0,0.0,2,1,1,1,0
,案由(議)/內文,0.0,0.0,,,,,
案由：本院委員吳宗憲等17人，有鑑於我國雖為雙首長制國家，然整體運作較類似於美國的總統制，而美國國會行使諮詢同意權即為其中之重要範例，除於副總統職務出缺時，總統補提名之新任副總統人選須分別經參、眾兩院之多數同意外，其餘總統對政府重要職務之提名案，均交由參議院行使同意權。我國則依據憲法及憲法增修條文之規定，由立法院行使同意權之對象包括了司法院正副院長與大法官、考試院正副院長與考試委員、監察院正副院長、監察委員與審計部審計長等，雖職務性質與同意權行使理由與外國未必一致，但仍有參酌各先進國家憲政理念與行使作法之必要，尤其在各部會首長就任時，對於民眾有所顧慮及爭議對象，理應進行調查聽證程序，以釐清國人之疑慮，爰擬具「立法院職權行使法第十七條條文修正草案」。是否有當？敬請公決。,案由(議)/內文,0.0,0.0,,,,,
,案由(議)/內文,0.0,0.0,,,,,
,內文,0.0,0.0,,,,,
提案人：吳宗憲　　,提案連署人-議程/內文,0.0,0.0,,,,,
連署人：蘇清泉　　賴士葆　　馬文君　　牛煦庭　　黃健豪　　黃建賓　　林德福　　傅崐萁　　羅智強　　翁曉玲　　林思銘　　楊瓊瓔　　魯明哲　　鄭天財Sra Kacaw　　　洪孟楷　　鄭正鈐　　,提案連署人-議程/內文,0.0,0.0,,,,,
,內文,0.0,0.0,,,,,
,內文,0.0,0.0,,,,,
,內文,0.0,0.0,,,,,
"
立法院職權行使法第十七條條文修正草案對照表
",內文,5.25,5.25,1,1,3,1,1
"
",內文,0.0,0.0,,,,,
"修正條文
",表格第一列(文字分散)/內文,0.0,0.0,1,2,1,1,1
"現行條文
",表格第一列(文字分散)/內文,0.0,0.0,2,2,1,1,1
"說明
",表格第一列(文字分散)/內文,0.0,0.0,3,2,1,1,1
"
",內文,0.0,0.0,2,2,1,1,1
第十七條　行政院遇有重要事項發生，或施政方針變更時，行政院院長或有關部會首長應向立法院院會提出報告，並備質詢。,內文,0.0,0.0,1,3,1,1,1
前項情事發生時，如有立法委員提議，十五人以上連署或附議，經院會議決，亦得邀請行政院院長或有關部會首長向立法院院會報告，並備質詢。,內文,0.0,0.0,1,3,1,1,1
"行政院各部會首長新任之官員，經全體委員三分之一以上之連署或附議，由院會議決，得就其人事進行聽證，該程序適用本法第九章之一，並備質詢。
",內文,0.0,0.0,1,3,1,1,1
第十七條　行政院遇有重要事項發生，或施政方針變更時，行政院院長或有關部會首長應向立法院院會提出報告，並備質詢。,內文,0.0,0.0,2,3,1,1,1
"前項情事發生時，如有立法委員提議，十五人以上連署或附議，經院會議決，亦得邀請行政院院長或有關部會首長向立法院院會報告，並備質詢。
",內文,0.0,0.0,2,3,1,1,1
一、新增第三項。,內文,0.0,0.0,3,3,1,1,1
"二、有鑑於我國雖為雙首長制國家，然整體運作較類似於美國的總統制，而美國國會行使諮詢同意權即為其中之重要範例，除於副總統職務出缺時，總統補提名之新任副總統人選須分別經參、眾兩院之多數同意外，其餘總統對政府重要職務之提名案，均交由參議院行使同意權。我國則依據憲法及憲法增修條文之規定，由立法院行使同意權之對象包括了司法院正副院長與大法官、考試院正副院長與考試委員、監察院正副院長、監察委員與審計部審計長等，雖職務性質與同意權行使理由與外國未必一致，但仍有參酌各先進國家憲政理念與行使作法之必要，尤其在各部會首長就任時，對於民眾有所顧慮及爭議對象，理應進行調查聽證程序，以釐清國人之疑慮，爰新增第三項。
",內文,0.0,0.0,3,3,1,1,1
"
",內文,0.0,0.0,2,3,1,1,1
,內文,0.0,0.0,,,,,
