text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
"　　　　　　　　　　　　　　　　　　　　　　　　　　　　　議案編號：202110018470000",00000000000000000000000000000000000000000000000000,內文,0.0,8.350000381469727,,,,,
"立法院議案關係文書　 eq \o\ad(\s\up5(（中華民國41年9月起編號）),\s\do5(中華民國113年3月20日印發))",000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
院總第20號,000000,院總號/內文,0.0,0.0,1,1,1,1,0
委員,00,提案號/內文,0.0,0.0,2,1,1,1,0
提案第,000,提案號/內文,0.0,0.0,3,1,1,1,0
11001847,00000000,提案號/內文,0.0,0.0,4,1,1,1,0
號,0,提案號/內文,0.0,0.0,5,1,1,1,0
,,提案號/內文,0.0,0.0,6,1,1,1,0
,,提案號/內文,0.0,0.0,7,1,1,1,0
,,內文,0.0,0.0,2,1,1,1,0
"",0,案由(議)/內文,0.0,0.0,,,,,
"案由：本院委員翁曉玲等18人，按憲法增修條文第三條第二項第一款：「行政院有向立法院提出施政方針及施政報告之責。立法委員在開會時，有向行政院院長及行政院各部會首長質詢之權。」，乃憲法基於民意政治與責任政治所為制度性之設計，故行政院各部會首長及所屬公務員，有應邀說明之義務，除有正當理由外，不得拒絕應邀到會備詢，此亦經大法官釋字第四六一號解釋在案。惟若行政機關於質詢時有拒絕答復、拒不提供資料、作虛偽不實陳述、答非所問或甚至無故缺席等行為，將使立法院基於民意監督行政之職權難以落實。現行法對此未有明文罰則或其他強制力之規定，爰擬具「立法院職權行使法第二十五條條文修正草案」，對藐視國會之行為進行裁處，以強化國會監督、維護權力分立。是否有當？敬請公決。",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,案由(議)/內文,0.0,0.0,,,,,
"",0,案由(議)/內文,0.0,0.0,,,,,
"說明：依據憲法第五十七條與增修條文第三條第二項之意旨，立法院對政府官員提出質詢，係要求政府提供資訊，以發揮監督、制衡行政之功能，是為行政院對立法院負責方式之一。惟依現行法，受質詢人若有拒絕答復、拒不提供資料、作虛偽不實陳述、答非所問或甚至無故缺席等行為，縱有違本法第二十五條，卻因無任何法律效果之規定，而使行政逸脫此義務，致國會之監督權受損，難以維持權力分立之平衡。故增訂於受質詢人有藐視國會之行為時，立法院得施以罰鍰等不同程度之制裁，爰提出「立法院職權行使法第二十五條條文修正草案」，修正要點如下：",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,說明/內文,0.0,0.0,,,,,
"一、對於超過質詢之答復，包括答非所問、實問虛答等情形，賦予主席有制止之權力。（修正第一項）",0000000000000000000000000000000000000000000000,說明(無函件項目符號)/內文,0.0,0.0,,,,,
"二、被質詢人除不得拒絕答復外，亦增訂其他藐視國會之行為例示：不得拒絕提供資料、不得作虛偽之陳述等。（修正第二項）",000000000000000000000000000000000000000000000000000000000,說明(無函件項目符號)/內文,0.0,0.0,,,,,
"三、有備詢義務之被質詢人，非經立法院院會或各委員會之同意，不得缺席。（修正第三項）",000000000000000000000000000000000000000000,說明(無函件項目符號)/內文,0.0,0.0,,,,,
"四、當被質詢人違反前三項時，得經主席或質詢委員提議，出席委員二人以上連署或附議，經本院院會議決，得處以罰鍰，並得按次連續處罰。（修正第四項）",00000000000000000000000000000000000000000000000000000000000000000000000,說明(無函件項目符號)/內文,0.0,0.0,,,,,
"五、違反第一項至第三項之情形之政府官員，由主席或質詢委員提議，出席委員二人以上連署或附議，經院會決議，移送監察院依法辦理。（修正第五項）",000000000000000000000000000000000000000000000000000000000000000000000,說明(無函件項目符號)/內文,0.0,0.0,,,,,
"六、違反第一項至第三項規定且情節重大者，由主席或質詢委員提議，出席委員二人以上連署或附議，經院會決議，移送司法機關辦理。另配合本項之修正，增訂刑法藐視國會罪之規定，併此敘明。（修正第六項）",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,說明(無函件項目符號)/內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
"提案人：翁曉玲　　",0000000000,提案連署人-議程/內文,0.0,0.0,,,,,
連署人：羅智強　　鄭天財Sra Kacaw　　　徐巧芯　　黃健豪　　林沛祥　　陳玉珍　　賴士葆　　羅廷瑋　　羅明才　　鄭正鈐　　張智倫　　李彥秀　　陳永康　　黃　仁　　涂權吉　　楊瓊瓔　　林倩綺　　,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,提案連署人-議程/內文,0.0,0.0,,,,,
,0,內文,0.0,0.0,,,,,
立法院職權行使法第二十五條條文修正草案對照表,00000000000000000000000,內文,5.25,5.25,1,1,3,1,1
,,內文,0.0,0.0,,,,,
修正條文,0000,表格第一列(文字分散)/內文,0.0,0.0,1,2,1,1,1
現行條文,0000,表格第一列(文字分散)/內文,0.0,0.0,2,2,1,1,1
說明,00,表格第一列(文字分散)/內文,0.0,0.0,3,2,1,1,1
,,內文,0.0,0.0,2,2,1,1,1
"第二十五條　質詢之答復，不得超過質詢範圍之外；違反者，主席得予制止。",00000000000000000000004444444444400,內文,0.0,0.0,1,3,1,1,1
"被質詢人除為避免國防、外交明顯立即之危害或依法應秘密之事項者外，不得拒絕答復、提供資料、作虛偽不實陳述或有其他藐視國會之行為。",0000000000000000000000000000000000000044444444444444444444444444,內文,0.0,0.0,1,3,1,1,1
"被質詢人非經立法院院會或各委員會之同意，不得缺席。",44444444444444444444444444,內文,0.0,0.0,1,3,1,1,1
"違反第一項至第三項規定者，由主席或質詢委員提議，出席委員二人以上連署或附議，經院會決議，處被質詢人二萬元至十萬元以下罰鍰，並得限期改正。逾期不改正者，得按次連續處罰。",444444444444444444444444444444444444444444444444444444444444444444444444444444444444,內文,0.0,0.0,1,3,1,1,1
"違反第一項至第三項規定之政府官員，由主席或質詢委員提議，出席委員二人以上連署或附議，經院會決議，移送監察院依法辦理。",44444444444444444444444444444444444444444444444444444444444,內文,0.0,0.0,1,3,1,1,1
違反第一項至第三項規定且情節重大者，由主席或質詢委員提議，出席委員二人以上連署或附議，經院會決議，移送司法機關辦理。,4444444444444444444444444444444444444444444444444444444444,內文,0.0,0.0,1,3,1,1,1
"第二十五條　質詢之答復，不得超過質詢範圍之外。",000000000000000000000000,內文,0.0,0.0,2,3,1,1,1
"被質詢人除為避免國防、外交明顯立即之危害或依法應秘密之事項者外，不得拒絕答復。",0000000000000000000000000000000000000000,內文,0.0,0.0,2,3,1,1,1
被質詢人違反第一項規定者，主席得予制止。,44444444444444444444,內文,0.0,0.0,2,3,1,1,1
"一、為完備立法院監督行政之權，修正本條之規定。",000000000000000000000000,內文,0.0,0.0,3,3,1,1,1
"二、條項變更，於被質詢人答復超過範圍時，主席之制止權移列至第一項後段。",000000000000000000000000000000000000,內文,0.0,0.0,3,3,1,1,1
"三、被質詢人除不得拒絕答復外，亦應有提供資料、不得作虛偽不實陳述之義務，並不得有其他藐視國會之行為，且亦不得無故缺席，以維護詢答之品質，使國會能夠善盡監督之義務，故修正本條第二項與第三項。",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,3,3,1,1,1
"四、本條增訂第四項至第六項。對於被質詢人有拒絕答復、拒不提供資料、作虛偽不實陳述、答非所問或甚至無故缺席等行為時，按其情況予以如下之不同處理：",000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,3,3,1,1,1
"(一)對於藐視國會之被質詢人，主席及質詢委員得提議，經出席委員二人以上連署或附議，經院會決議，處二萬至十萬元以下罰鍰，並得限期改正，逾期不改正者，得按次連續處罰之。",00000000000000000000000000000000000000000000000000000000000000000000000000000000000,一般項目符號/內文,0.0,0.0,3,3,1,1,1
"(二)除對藐視國會之被質詢人裁處罰鍰外，亦得由主席或質詢委員提議，出席委員二人以上連署或附議，經院會決議，依情事移送監察院審查其行為是否有違法或失職。",0000000000000000000000000000000000000000000000000000000000000000000000000000,一般項目符號/內文,0.0,0.0,3,3,1,1,1
(三)藐視國會且情節重大者，亦得由主席或質詢委員提議，出席委員二人以上連署或附議，經院會決議，移送司法機關辦理。另配合本項之修正，增訂刑法藐視國會罪之規定。,000000000000000000000000000000000000000000000000000000000000000000000000000000,一般項目符號/內文,0.0,0.0,3,3,1,1,1
,,內文,0.0,0.0,2,3,1,1,1
"",0,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
