text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
"議事錄",1111,內文,0.0,10.800000190734863,,,,,
"立法院第11屆第1會期第4次會議議事錄",00000000000000000000,內文,0.0,10.800000190734863,,,,,
"時　　間　中華民國113年3月 8 日（星期五）上午9時2分至9時20分、10時至11時59分、下午2時30分至5時32分",00000000000000000000000000000000000000000000000000000000000000,議事時間/內文,0.0,0.0,,,,,
"3月12日（星期二）上午9時至11時56分、下午2時30分至4時42分",000000000000000000000000000000000000,議事時間/內文,0.0,0.0,,,,,
"地　　點　本院議場",0000000000,內文,0.0,0.0,,,,,
"出席委員　陳昭姿　　黃珊珊　　盧縣一　　陳秀寳　　蘇巧慧　　吳春城　　林思銘　　王美惠　　陳菁徽　　林岱樺　　涂權吉　　陳永康　　王正旭　　黃建賓　　廖偉翔　　謝龍介　　林德福　　洪孟楷　　羅智強　　蔡其昌　　黃國昌　　陳玉珍　　吳秉叡　　許智傑　　吳宗憲　　伍麗華Saidhai Tahovecahe　　　　鄭天財Sra Kacaw　　　林國成　　邱議瑩　　葛如鈞　　林沛祥　　蔡易餘　　莊瑞雄　　傅崐萁　　陳亭妃　　陳培瑜　　賴士葆　　郭國文　　賴惠員　　王定宇　　吳沛憶　　陳冠廷　　陳俊宇　　羅廷瑋　　張嘉郡　　牛煦庭　　沈發惠　　李坤城　　李柏毅　　呂玉玲　　吳思瑤　　郭昱晴　　林淑芬　　林月琴　　謝衣鳯　　黃秀芳　　李昆澤　　賴瑞隆　　何欣純　　范　雲　　張雅琳　　黃　捷　　鄭正鈐　　洪申翰　　吳琪銘　　林楚茵　　羅美玲　　黃健豪　　陳雪生　　鍾佳濱　　韓國瑜　　江啟臣　　沈伯洋　　林憶君　　徐富癸　　王世堅　　張宏陸　　邱志偉　　柯建銘　　萬美玲　　林倩綺　　林宜瑾　　陳　瑩　　葉元之　　徐巧芯　　柯志恩　　邱鎮軍　　陳超明　　游　顥　　羅明才　　廖先翔　　張啓楷　　許宇甄　　李彥秀　　楊瓊瓔　　王鴻薇　　王育敏　　徐欣瑩　　邱若華　　張智倫　　陳素月　　馬文君　　麥玉珍　　翁曉玲　　高金素梅　林俊憲　　顏寬恒　　魯明哲　　黃　仁　　丁學忠　　蘇清泉　　劉建國　　",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,出席委員/內文,0.0,0.0,,,,,
"委員出席　112人",0000000000,內文,0.0,0.0,,,,,
"請假委員　楊　曜　　",00000000000,請假委員/出席委員/內文,0.0,0.0,,,,,
"委員請假　1人",00000000,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
列席官員,00000,內文,0.0,0.0,1,1,1,1,0
行政院院長,00000,內文,0.0,0.0,2,1,1,1,0
陳建仁,000,內文,0.0,0.0,3,1,1,1,0
,,內文,0.0,0.0,2,1,1,1,0
,,內文,0.0,0.0,1,2,1,1,0
行政院副院長,000000,內文,0.0,0.0,2,2,1,1,0
鄭文燦,000,內文,0.0,0.0,3,2,1,1,0
,,內文,0.0,0.0,2,2,1,1,0
,,內文,0.0,0.0,1,3,1,1,0
內政部部長,00000,內文,0.0,0.0,2,3,1,1,0
林右昌,000,內文,0.0,0.0,3,3,1,1,0
,,內文,0.0,0.0,2,3,1,1,0
,,內文,0.0,0.0,1,4,1,1,0
外交部部長,00000,內文,0.0,0.0,2,4,1,1,0
吳釗燮,000,內文,0.0,0.0,3,4,1,1,0
,,內文,0.0,0.0,2,4,1,1,0
,,內文,0.0,0.0,1,5,1,1,0
國防部部長,00000,內文,0.0,0.0,2,5,1,1,0
邱國正,000,內文,0.0,0.0,3,5,1,1,0
,,內文,0.0,0.0,2,5,1,1,0
,,內文,0.0,0.0,1,6,1,1,0
財政部部長,00000,內文,0.0,0.0,2,6,1,1,0
莊翠雲,000,內文,0.0,0.0,3,6,1,1,0
,,內文,0.0,0.0,2,6,1,1,0
,,內文,0.0,0.0,1,7,1,1,0
教育部部長,00000,內文,0.0,0.0,2,7,1,1,0
潘文忠,000,內文,0.0,0.0,3,7,1,1,0
,,內文,0.0,0.0,2,7,1,1,0
,,內文,0.0,0.0,1,8,1,1,0
法務部部長,00000,內文,0.0,0.0,2,8,1,1,0
蔡清祥,000,內文,0.0,0.0,3,8,1,1,0
,,內文,0.0,0.0,2,8,1,1,0
,,內文,0.0,0.0,1,9,1,1,0
