text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
議事錄,內文,0.0,10.800000190734863,,,,,
立法院第11屆第1會期第5次會議議事錄,內文,0.0,10.800000190734863,,,,,
時　　間　中華民國113年3月15日（星期五）上午9時1分至9時27分、10時至12時7分、下午2時32分至2時40分,議事時間/內文,0.0,0.0,,,,,
3月19日（星期二）上午9時至12時9分、下午2時30分至4時6分,議事時間/內文,0.0,0.0,,,,,
地　　點　本院議場,內文,0.0,0.0,,,,,
出席委員　陳昭姿　　吳春城　　麥玉珍　　林憶君　　林國成　　黃珊珊　　林德福　　吳秉叡　　鄭天財Sra Kacaw　　　陳培瑜　　郭國文　　李昆澤　　邱志偉　　丁學忠　　許宇甄　　陳菁徽　　洪孟楷　　羅智強　　陳玉珍　　沈伯洋　　伍麗華Saidhai Tahovecahe　　　　蘇巧慧　　陳素月　　黃建賓　　王正旭　　陳永康　　吳思瑤　　陳俊宇　　張嘉郡　　賴士葆　　黃　仁　　陳亭妃　　魯明哲　　林月琴　　沈發惠　　徐欣瑩　　林淑芬　　洪申翰　　莊瑞雄　　林宜瑾　　黃秀芳　　王定宇　　羅美玲　　何欣純　　吳沛憶　　謝衣鳯　　劉建國　　徐富癸　　郭昱晴　　張宏陸　　柯建銘　　范　雲　　吳琪銘　　黃國昌　　陳秀寳　　林楚茵　　邱議瑩　　謝龍介　　徐巧芯　　顏寬恒　　牛煦庭　　王育敏　　黃健豪　　楊瓊瓔　　林倩綺　　鄭正鈐　　盧縣一　　陳超明　　萬美玲　　翁曉玲　　羅明才　　廖偉翔　　羅廷瑋　　涂權吉　　王世堅　　柯志恩　　林沛祥　　呂玉玲　　王鴻薇　　葛如鈞　　葉元之　　鍾佳濱　　韓國瑜　　吳宗憲　　張雅琳　　張智倫　　邱鎮軍　　林思銘　　邱若華　　高金素梅　林俊憲　　馬文君　　游　顥　　李坤城　　傅崐萁　　蘇清泉　　江啟臣　　許智傑　　陳冠廷　　陳雪生　　楊　曜　　張啓楷　　王美惠　　黃　捷　　蔡易餘　　李柏毅　　賴惠員　　陳　瑩　　李彥秀　　賴瑞隆　　林岱樺　　廖先翔　　蔡其昌　　,出席委員/內文,0.0,0.0,,,,,
委員出席　113人,內文,0.0,0.0,,,,,
,內文,0.0,0.0,,,,,
"
列席官員
",內文,0.0,0.0,1,1,1,1,0
"行政院院長
",內文,0.0,0.0,2,1,1,1,0
