text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
黨團協商紀錄,內文,0.0,0.0,,,,,
立法院第11屆第1會期黨團協商會議紀錄,內文,5.25,15.75,,,,,
時　　間　中華民國113年3月25日（星期一）15時36分至16時40分,主席(多位主席),0.0,0.0,,,,,
地　　點　本院議場3樓會議室,主席(多位主席),0.0,0.0,,,,,
主　　席　韓院長國瑜,主席(多位主席),0.0,0.0,,,,,
協商主題　研商有關本會期對行政院長施政報告之質詢，於3月15日(五)「經濟組」個人質詢相關事宜（民進黨黨團提議）,朝野協商(次標題)/內文,0.0,0.0,,,,,
主席：跟各位黨鞭委員報告，在協商開始之前，先前有跟各黨團溝通了決算審核報告案，民進黨黨團及民眾黨黨團均已經簽署協商結論，在4月2號進行決算審核報告之諮詢，國民黨團是不是也同意來簽署？因為3月8號的時候已經跟三個黨團的總召分別都口頭報告過，現在民進黨簽了，民眾黨也簽了，這樣的話，我們明天院會就來處理黨團協商結論，這一點要特別向洪書記長及林首席副書記長報告一下，只要簽了字，明天我們就來處理，他們兩個都簽了，先把這件事情處理了，等一下我跟副院長也會簽。,內文,0.0,0.0,,,,,
各位黨團的幹部，非常感謝。我們柯總召，還有思瑤幹事長，還有黃國昌總召，還有孟楷書記長、思銘首席副書記長，傅崐萁傅總召也到了。現在我們正式開始開會，進行協商，研商有關本會期對行政院長施政報告之質詢，3月15日經濟組個人質詢相關事宜（民進黨黨團提議）。第二，請各黨團發表意見。第三，與會委員溝通協商。第四，達成共識後，協商結論請各黨團黨鞭簽名。,內文,0.0,0.0,,,,,
我們現在進行今天表列的第一項……，直接進入第二項，請各黨團來表達意見，好不好？來，請柯總召。,內文,0.0,0.0,,,,,
柯委員建銘：院長、各位列席代表。針對 3月15號有關於質詢，然後跳號，引起爭議事件，要說沒收質詢也罷，那是我們純粹當一個事件來看待。我們今天協商最主要就是我希望大家能夠心平氣和，把始末弄清楚，我們希望得到一個解決之道。,內文,0.0,0.0,,,,,
首先，我想最重要是憲法第六十三條所賦予立法委員的職責裡面，質詢權是一個非常重要的，我相信每一個委員都很在意他的質詢，尤其是總質詢，當然委員會也是質詢，尤其總質詢都變成大家一種政治攻防一個很重要、各黨的政治態度展現，在野黨對於執政黨的挑戰理所當然，執政黨捍衛執政的邏輯與理念，相對的也是理所當然。,內文,0.0,0.0,,,,,
這時候我們回頭來看待，3月15號那件事情以前從來沒有發生過，那為何會發生？這第一點。我們也希望以後不要再發生，這是重點！為什麼會發生？當然我們今天要談到底始末是什麼。再接下來談就是要如何謀求補救之道，乃至於以後應該如何來重新規範清楚，這才是我們今天要朝野協商的重要基礎。我也不希望這個朝野協商會變成各黨表態、互相攻擊，那個事情不是朝野協商應該做的事情。事情發生的時候，各黨都有不同的態度和攻防，但是今天我們是要講求把事實真相先還原出來。以下我講的假如有不對的地方，當然也歡迎各位指正。我可能會花比較長的時間，因為我知道上次跟傅總召溝通的時候，他有他的看法，各黨各有不同的看法，我希望第一個，還原真相。為什麼以前不會發生，這一次會發生？當然我們都知道，本來早上最後一個質詢的是陳亭妃委員，後來被告知韓院長中午有外賓，他覺得他下午有事情，議事人員走上去告訴他，可能要換到下午，陳亭妃委員也很配合，說改為書面。其實這個事情很簡單，毫無爭議，但陳亭妃委員一直認為他被誤解，這個事情上次我們澄清過，跟他沒關係。他到登記處改，然後整個作業完成，12點鐘陳亭妃改成書面。,內文,0.0,0.0,,,,,
接下去就是routine，議事人員都會通知後面要質詢的人，這個時候發生一點小小的 mistake。當然我們都非常瞭解，議事人員平常做事情都很認真，而且緊盯整個議事能不能順暢。比如說，禮拜五有國是論壇，大家抽籤抽一抽，一個人3分鐘，第一個上臺的人講的時候議事人員就很緊張，要看第二個有沒有進來，沒有就馬上通知、聯絡，大家彼此良善的互動，維持議事順暢。他改了以後，可能議事人員……我們今天不追究任何議事人員的責任，只是把原因找出來，討論以後如何防止、未來應該怎麼做、這個應該如何補救。第一個，我們看到整個議場的大看板上，在2點10分的時候才秀出來，下午陳亭妃已經改書面，第一個是羅明才，第二個洪申翰，以下類推。到2點10分的時候……,內文,0.0,0.0,,,,,
但是那一天發生這個事情有一點骨牌效應，我也覺得很納悶，我就打電話問羅明才到底怎麼回事？羅明才對我講的話，我說的是原話，我問他到底幾點鐘收到通知？確定何時進來？因為陳亭妃已經改書面，2點半換你第一個，他說兩點多一點，我說到底幾點？他說兩點多，他也搞不清楚。上次朝野協商的時候，議事人員有給一個報告，有一說是1點50分，OK，沒有關係，1點50分到2點半，大概有40分鐘。當然每一個委員覺得第一個是誰，後面的時間我會掌握清楚，所以羅明才委員情急下趕快開車急奔回來立法院。他還告訴我，他打電話給議事台，說他會慢3、5分鐘，請等一下，代表他一直很在意他的質詢，所以衝很快回來。,內文,0.0,0.0,,,,,
當然我知道韓院長2點半那時候應該也知道他會慢3、5分鐘，但是到2點半的時候怎麼辦？我咡秘書長說，他也提醒一下，說羅明才會慢一點。但是院長大概是想到等一下他上臺主持院會的時候，各黨不知道怎麼看待，院長為什麼遲到？為什麼不上臺？又有不同的解讀。於是院長就上主席台，上去的時候就唸下去，所以發生所謂的骨牌效應。,內文,0.0,0.0,,,,,
這裡面牽涉另一個人，就是第二個洪申翰委員，我問洪申翰委員到底怎麼回事？他說早上的時候有議事人員很負責地告訴他，下午他是第二個質詢，可能是3點鐘左右，希望他2點35分進場，這是早上的狀況，都還沒有改時間，下午才通知羅明才可能講不到15分鐘，請他提早進場。他的資訊或許不是很完整，以為前面還有一個陳亭妃，所以他2點34分進來的時候，他已經被跳掉。當然我很清楚就是後來大家發生一些不愉快的事情，就是找院長去理論，這是我所看到、所聽到、我問過的實際情形。今天持平而論，假如議事人員及早在第一、第二時間通知每一個委員，通知得很清楚的話，我想大家對於自己的質詢權都非常在意，要來問的都一定有準備了。所以在這個時候我們要談的就是這個事情應該怎麼辦。,內文,0.0,0.0,,,,,
