text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
本期委員發言紀錄索引,1111111111,註解文字/內文,0.0,0.0,1,1,2,1,0
,,內文,0.0,0.0,,,,,
立法院第11屆第1會期司法及法制、交通委員會第1次聯席會議紀錄,0000000000000000000000000000000,註解文字/內文,0.0,0.0,1,2,2,1,0
,,內文,0.0,0.0,,,,,
"併案審查(一)委員傅崐萁等33人擬具「國家通訊傳播委員會組織法第四條條文修正草案」案、(二)委員傅崐萁等41人擬具「國家通訊傳播委員會組織法第四條、第八條及第十條條文修正草案」案、(三)委員洪孟楷等25人擬具「國家通訊傳播委員會組織法第四條及第十條條文修正草案」案、(四)委員翁曉玲等18人擬具「國家通訊傳播委員會組織法第四條條文修正草案」案                            ",11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,註解文字/內文,7.949999809265137,0.0,1,3,2,1,0
                                                                （頁次：１－１３０）,11111111111111111111111111111111111111111111111111111111111111111111111111,註解文字/內文,0.0,7.949999809265137,1,3,2,1,0
,,內文,0.0,0.0,,,,,
發言者,000,內文,7.949999809265137,0.0,1,4,1,1,0
"吳宗憲（主席）、洪孟楷、翁曉玲、傅崐萁、黃國昌、謝龍介、羅智強、林國成、",0000000000000000000000000000000000000,註解文字/內文,7.949999809265137,0.0,2,4,1,1,0
"莊瑞雄、柯建銘、沈發惠、陳俊宇、鍾佳濱、林思銘、吳思瑤、黃健豪、李昆澤、",0000000000000000000000000000000000000,註解文字/內文,7.949999809265137,0.0,2,4,1,1,0
"何欣純、楊瓊瓔、蔡其昌、游 顥、許智傑、陳素月、徐富癸、魯明哲、邱若華、",0000000000000000000000000000000000000,註解文字/內文,7.949999809265137,0.0,2,4,1,1,0
廖先翔、林沛祥、陳雪生,00000000000,註解文字/內文,7.949999809265137,0.0,2,4,1,1,0
,,內文,0.0,0.0,2,4,1,1,0
,,內文,0.0,0.0,1,5,1,1,0
,,註解文字/內文,0.0,0.0,2,5,1,1,0
,,內文,0.0,0.0,2,5,1,1,0
,,內文,0.0,0.0,1,6,1,1,0
"",0,註解文字/內文,0.0,0.0,2,6,1,1,0
,,註解文字/內文,0.0,0.0,2,6,1,1,0
,,內文,0.0,0.0,2,6,1,1,0
,,內文,0.0,0.0,1,7,1,1,0
,,註解文字/內文,0.0,0.0,2,7,1,1,0
,,內文,0.0,0.0,2,7,1,1,0
,,內文,0.0,0.0,1,8,1,1,0
,,註解文字/內文,0.0,0.0,2,8,1,1,0
,,內文,0.0,0.0,2,8,1,1,0
,,內文,0.0,0.0,1,9,1,1,0
,,註解文字/內文,0.0,0.0,2,9,1,1,0
,,內文,0.0,0.0,2,9,1,1,0
,,內文,0.0,0.0,1,10,1,1,0
,,註解文字/內文,0.0,0.0,2,10,1,1,0
,,內文,0.0,0.0,2,10,1,1,0
,,內文,0.0,0.0,1,11,1,1,0
,,註解文字/內文,0.0,0.0,2,11,1,1,0
,,內文,0.0,0.0,2,11,1,1,0
,,內文,0.0,0.0,1,12,1,1,0
,,註解文字/內文,0.0,0.0,2,12,1,1,0
,,內文,0.0,0.0,2,12,1,1,0
,,內文,0.0,0.0,1,13,1,1,0
,,註解文字/內文,0.0,0.0,2,13,1,1,0
,,內文,0.0,0.0,2,13,1,1,0
,,內文,0.0,0.0,1,14,1,1,0
,,註解文字/內文,0.0,0.0,2,14,1,1,0
,,內文,0.0,0.0,2,14,1,1,0
"",0,內文,0.0,0.0,,,,,
